angle/°	t/ms	timer1/ms	timer2/ms	Date	DateOA	Counter1	Counter2	Counter3	Counter4	dt/ms	dtimer1/ms	dtimer2/ms	dCounter1	dCounter2	dCounter3	dCounter4	Ticks1	Ticks2	Ticks3	Ticks4	dTicks1	dTicks2	dTicks3	dTicks4
210	719995.80835	0	719985	2026-03-10_00:02:59	46091.0020717593	1215772	1531199	4096	5293	1	20	20	1102.62051495517	1237.41625979296	64	72.7530068107154	1688.60740154309	2126.70958422745	5.68900740987659	7.35154204601485	1.53216747158716	1.71968452977318	0.0888908812543826	0.101048154311842
195	719995.6042	0	719985	2026-03-10_00:15:11	46091.0105439815	1225793	1526823	4253	5507	1	20	20	1107.15536398466	1235.64679419323	65.2150289427215	74.2091638546076	1702.52574706417	2120.63167982666	5.90706750835087	7.6487704604957	1.53847490055716	1.71722254015651	0.0905784647639594	0.103070649425825
180	719996.02295	0	719985	2026-03-10_00:27:23	46091.0190162037	1233063	1527039	4270	5464	1	20	20	1110.43369905636	1235.73419471988	65.3452370108182	73.9188744503053	1712.62317964958	2120.93168607679	5.93067911137038	7.5890469940346	1.54303471544267	1.71734414674364	0.0907593139626876	0.102667458737955
165	719995.7705	0	719985	2026-03-10_00:39:36	46091.0275	1239814	1528887	4255	5530	1	20	20	1113.46935296846	1236.48170225038	65.2303610292017	74.3639697703128	1721.99976388397	2123.4984062168	5.90984534400022	7.68071557046327	1.54725702087133	1.71838420853032	0.0905997598770139	0.103285663494886
150	719996.96305	0	719985	2026-03-10_00:51:48	46091.0359722222	1245888	1529516	4216	5451	1	20	20	1116.19353160641	1236.73602680604	64.9307323229917	73.8308878451289	1730.43605075106	2124.37203552852	5.85567754883782	7.5709910623138	1.5510461219254	1.7187380693533	0.0901835981860014	0.10254525180174
135	719995.68025	0	719985	2026-03-10_01:04:00	46091.0444444444	1252517	1526503	3970	5113	1	20	20	1119.15905929408	1235.51730056685	63.0079360080935	71.505244562899	1739.64318701084	2120.18722612277	5.51400376396731	7.10153683757301	1.55517094925882	1.71704236649293	0.0875129794610323	0.0993151046486475
120	719995.9802	0	719986	2026-03-10_01:16:12	46091.0529166667	1255417	1528495	3906	5052	1	20	20	1120.45392587112	1236.32317781396	62.497999967999	71.0774225756674	1743.66862688997	2122.95100182504	5.42510548816227	7.01680310450481	1.55696985718963	1.71816125253001	0.0868045964124366	0.0987207544536722
105	719996.34495	0	719986	2026-03-10_01:28:24	46091.0613888889	1250137	1532721	3950	5104	1	20	20	1118.09525533382	1238.03109815545	62.8490254498827	71.442284397967	1736.33515096127	2128.82056039979	5.48621778756809	7.08902673107533	1.55368911381322	1.72053761070164	0.0872921435005761	0.0992275198168569
90	719995.64915	0	719985	2026-03-10_01:40:37	46091.0698726852	1244599	1529798	3889	5024	1	20	20	1115.61597335284	1236.85003132959	62.3618473106755	70.8801805866774	1728.64573567505	2124.76371035508	5.40150142016848	6.97792315117676	1.55024278524014	1.71889669247811	0.0866156112715325	0.0984469370574528
90	719995.4477	0	719985	2026-03-10_01:52:41	46091.0782523148	1245842	1527074	3860	5011	1	20	20	1116.17292567057	1235.74835626029	62.1288982680363	70.7884171316184	1730.37216053112	2120.98029820066	5.36122280325285	6.95986721945596	1.5510174607194	1.71736385070782	0.0862920627430078	0.0983194844188876
105	719996.2321	0	719985	2026-03-10_02:04:53	46091.086724537	1251314	1527854	3888	4989	1	20	20	1118.62147306406	1236.06391420509	62.3538290724796	70.6328535456412	1737.97231886775	2122.0636541039	5.4001125023438	6.92931102731307	1.55442320465469	1.71780290925569	0.0866044745474562	0.0981034181310278
120	719996.2493	0	719985	2026-03-10_02:17:06	46091.0952083333	1254763	1528870	4008	5131	1	20	20	1120.1620418493	1236.47482788773	63.3087671653777	71.6309988761849	1742.76269644506	2123.47479461378	5.56678264130503	7.12653735841719	1.55656603016924	1.71837464371771	0.0879308111467506	0.0994897680913819
135	719995.9368	0	719985	2026-03-10_02:29:18	46091.1036805556	1253458	1529213	4220	5436	1	20	20	1119.57938530503	1236.61352087061	64.9615270756469	73.7292343646671	1740.95015868386	2123.95119342764	5.86123322013653	7.55015729494364	1.55575559387623	1.71856761762804	0.0902263697756866	0.102404062581216
150	719995.41515	0	719985	2026-03-10_02:41:30	46091.1121527778	1247883	1537872	4182	5368	1	20	20	1117.08683637397	1240.10967256933	64.668384856899	73.2666363360568	1733.20694181129	2135.97783287152	5.80845434279881	7.45571088286562	1.55228863875762	1.72343209998309	0.0898192173431544	0.101761547916306
165	719996.71475	0	719986	2026-03-10_02:53:42	46091.120625	1240142	1541802	4288	5465	1	20	20	1113.61663062294	1241.69319882167	65.4828221749796	73.9256383131049	1722.45293658488	2141.43330564761	5.95567136027645	7.59042536938218	1.54745971954826	1.72563300622374	0.090950283073157	0.102676710636865
180	719995.55535	0	719985	2026-03-10_03:05:55	46091.1291087963	1233109	1550058	4362	5563	1	20	20	1110.45441149108	1245.01325294151	66.0454389038335	74.5855213831746	1712.68706986951	2152.90318548303	6.05845955124065	7.72654985867761	1.54306352435489	1.73025493524943	0.0917318417109848	0.10359338245456
195	719995.69175	0	719985	2026-03-10_03:18:07	46091.1375810185	1226838	1607443	4423	5479	1	20	20	1107.627193599	1267.84975450564	66.5056388586712	74.0202674947882	1703.97716619096	2232.60623485212	6.14318353854594	7.60988076140475	1.53913116293502	1.76203088615252	0.0923710248808136	0.102808286236591
210	719996.4099	0	719985	2026-03-10_03:30:19	46091.1460532407	1218967	1600492	4309	5352	1	20	20	1104.06838556314	1265.10552919509	65.6429737291052	73.1573646326875	1693.04499399293	2222.95186705279	5.98484690653278	7.43348819767078	1.53418127733755	1.75821231021829	0.0911728478509141	0.101609777558194
225	719995.7893	0	719985	2026-03-10_03:42:31	46091.154525463	1210084	1619244	4158	5070	1	20	20	1100.03818115555	1272.49518663137	64.482555780614	71.2039324756716	1680.70723695633	2248.99685410113	5.77512031500656	7.0418133711119	1.52857578877631	1.76849505188867	0.0895611147810132	0.0988966044536334
240	719995.3658	0	719985	2026-03-10_03:54:43	46091.1629976852	1203687	1638150	4056	4952	1	20	20	1097.12670188999	1279.90234002443	63.6867333123626	70.3704483430367	1671.82232963187	2275.25573449447	5.63345069688952	6.87792106780002	1.52452633666709	1.77880236324054	0.0884557775153385	0.097738956771068
255	719996.9599	0	719985	2026-03-10_04:06:55	46091.1714699074	1197506	1630343	3896	4785	1	20	20	1094.3061728785	1276.84885558158	62.4179461373089	69.173694422085	1663.23742855754	2264.41245303722	5.41122384494121	6.64597179107898	1.520603411874	1.77455330627673	0.0866935282828321	0.0960767545524025
